job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
Front End Web Developer,Cull Group Marketing & Design,"https://www.indeed.com/q-Cull-Group-Marketing-&-Design-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49506",At least 2 years of web development experience.,Posted30+ days ago,Estimated $47K – $59.6K a year
Software Developer,Progressive AE,https://www.indeed.com/cmp/Progressive-Ae,"Grand Rapids, MI 49525","As a software developer, you will oversee the Progressive AE technology life-cycle duties to bring our applications to completion while exceeding business…",EmployerActive 2 days ago,
,Boston Technology,"https://www.indeed.com/q-Boston-Technology-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI","Minimum 2 years of experience in systems development and programming (.NET, C#, Azure: Logic Apps, Function Apps, CosmosDB, Storage Account, and Restful APIs).",Posted3 days ago,
Senior Salesforce Developer,Steelcase,https://www.indeed.com/cmp/Steelcase,"Hybrid remote in Grand Rapids, MI",This role will be focused on the development and delivery of eCommerce systems at Steelcase using the Salesforce B2B Commerce cloud application.,Posted30+ days ago,Estimated $92.9K – $118K a year
Machine Learning Engineer (Speech to Text Startup),Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2rnji5n5a8800&jk=cc289baf3e0a71ba&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fi0so2qhAmCglub3JtdGl0bGUaGW1hY2hpbmUgbGVhcm5pbmcgZW5naW5lZXI%253D,"Remote in Kentwood, MI+7 locations","Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…",Posted30+ days ago,
,Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2rnji5n5a8800&jk=22c6972356541f0e&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fi0so2qhAdCglub3JtdGl0bGUaEGVuZ2luZWVyaW5nIGxlYWQ%253D,"Remote in Kentwood, MI+1 location","Lead a team of elite software engineers to set and build the product vision of our client, delivering a negative-churn developer experience, in a longterm…",Posted1 day ago,Estimated $119K – $151K a year
Application Development Analyst,Spectrum Health,https://www.indeed.com/cmp/Spectrum-Health-1,"Grand Rapids, MI+2 locations","Under minimal supervision, designs, codes or configures, tests, debugs, deploys, documents and maintains programs using a variety of software development…",Posted30+ days ago,Estimated $77K – $97.4K a year
Senior Salesforce Developer,Steelcase,https://www.indeed.com/cmp/Steelcase,"Hybrid remote in Grand Rapids, MI",This role will be focused on the development and delivery of eCommerce systems at Steelcase using the Salesforce B2B Commerce cloud application.,Posted30+ days ago,
,Ad Hoc Team,https://www.indeed.com/cmp/Ad-Hoc-Team,"Remote in Grand Rapids, MI","They write well-structured, tested, and secure code with little feedback or guidance.",Posted1 day ago,
Database Application Developer (REMOTE),Spectrum Health,https://www.indeed.com/cmp/Spectrum-Health-1,"Remote in Grand Rapids, MI","Designs, codes or configures, tests, debugs, deploys, documents and maintains large and/or complex programs, using a variety of software development toolkits,…",Posted30+ days ago,
Web Designer/Developer,Andronaco Industries,https://www.indeed.com/cmp/Andronaco-Industries,"Kentwood, MI","The successful candidate will be working with a small team to build, enhance and maintain our corporate websites.",Posted30+ days ago,
Senior Application Developer Analyst,Spectrum Health,https://www.indeed.com/cmp/Spectrum-Health-1,"Grand Rapids, MI+2 locations","Imbedded and direct collaboration with the user experience, product management and design team.",Posted13 days ago,
US Tech Javascript Automation Engineer,PRICE WATERHOUSE COOPERS,https://www.indeed.com/cmp/Pwc,"Grand Rapids, MI 49503 (Heartside area)","You’ll focus on managing the design and implementation of technology infrastructure within PwC, developing and enhancing both client and internal facing…",Posted30+ days ago,
Sr.-Mid level Software Engineers - eCommerce,Meijer,https://www.indeed.com/cmp/Meijer,"Grand Rapids, MI+5 locations",We are seeking Senior and Mid-level Software Engineers with heavy ReactJS development experience for our Digital Customer Experience & Loyalty train on the…,Posted9 days ago,
